Districts,Year,Flood_Frequency,Mean_Duration,Mean_Severity,AFSI,Dist_Name_x,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Dist_Name_y,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio,Flood_Risk_Index,Area_Exposure,Severity_Score
"Ajmer, Alwar, Bharatpur",1996,1,2,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
"Ajmer, Alwar, Bharatpur, Sawai Madhopur, Ramgarh, Jaipur",1975,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
"Ajmer, Banswara,Jodhpur",2007,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Ajmer, Baran, Bhilwara, Bundi, Kota,Udaipur",2001,1,3,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
"Ajmer, Baran, Dausa, Jaipur,Tonk",2014,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Ajmer, Barmer, Bhilwara, Jodhpur, Pali,Sirohi",1990,1,4,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,4.000229501,18263.97663,
"Ajmer, Bhilwara, Bundi, Jalore, Jodhpur, Kota, Nagpur, Pali, Sawai Madhopur, Sikar,Tonk",1979,1,14,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,14.00080325,18263.97663,
"Ajmer, Bhilwara, Churu, Ganganagar, Kota, Jaisalmer,Jodhpur",1993,1,12,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,12.0006885,18263.97663,
"Ajmer, Kota,Sirohi",1997,1,3,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
"Ajmer,Alwar",1995,1,2,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
"Ajmer,Bikaner",1997,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Akharpur, Deoria,Gorakhpur",1982,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
