Districts,Year,Flood_Frequency,Mean_Duration,Mean_Severity,AFSI,Dist_Name_x,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Dist_Name_y,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio,Flood_Risk_Index,Area_Exposure,Severity_Score
Kanpur Nagar Dehat,2018,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Mainpuri,2018,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Sultanpur,2018,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Agra,2010,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Kheri,2010,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Sitapur,2010,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Agra,1978,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
Mathura,1978,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
Varanasi,1978,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
Prayagraj,1978,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
Lucknow,1978,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
Gwalior,1978,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
Ballia,1978,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
Etawah,1978,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
Jalaun,1978,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
Hamirpur,1978,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
Banda,1978,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
Agra,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Prayagraj,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Azamgarh,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Bahraich,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Ballia,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Bara Banki,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Bareilly,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Basti,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Budaun,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Bulandshahr,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Deoria,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Etah,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Etawah,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Ayodhya,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Farrukhabad,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Fatehpur,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Garhwal,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Gonda,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Gorakhpur,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Hamirpur,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Jaunpur,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Kanpur Nagar Nagar,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Kanpur Nagar Dehat,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Kheri,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Lucknow,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Mainpuri,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Mathura,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Meerut,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Mirzapur,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Moradabad,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Muzaffarnagar,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Pilibhit,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Pratapgarh,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Rae Bareli,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Saharanpur,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Sitapur,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Sultanpur,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Unnao,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Varanasi,1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Ahmedabad,1981,1,2,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
Ahmedabad,1982,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Ahmedabad,2001,2,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
Ahmedabad,2019,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
