Districts,Year,Flood_Frequency,Mean_Duration,Mean_Severity,AFSI,Dist_Name_x,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Dist_Name_y,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio
Kolkata,1993,2,1,,,Kolkata,262,79,2896202,3,Kolkata,12.06523072,10.21461453,1.85061619,9.05E-05
Kolkata,1994,2,1,,,Kolkata,262,79,2896202,3,Kolkata,12.06523072,10.21461453,1.85061619,9.05E-05
Kolkata,1995,1,1,,,Kolkata,262,79,2896202,3,Kolkata,12.06523072,10.21461453,1.85061619,9.05E-05
Kolkata,1996,1,1,,,Kolkata,262,79,2896202,3,Kolkata,12.06523072,10.21461453,1.85061619,9.05E-05
Kolkata,2005,1,1,,,Kolkata,262,79,2896202,3,Kolkata,12.06523072,10.21461453,1.85061619,9.05E-05
Kolkata,2021,1,1,,,Kolkata,262,79,2896202,3,Kolkata,12.06523072,10.21461453,1.85061619,9.05E-05
"Kolkata, Cooch Behar, Darjeeling,Jalpaiguri",1999,1,1,,,,,,,,,,,,
"Kolkata, Hooghly",1995,1,1,,,,,,,,,,,,
"Kolkata, Hooghly, Paschim Purba Medinipur,Purba Purba Medinipur, Murshidabad,Nadia",1993,1,5,,,,,,,,,,,,
"Kolkata, Howrah",1990,1,1,,,,,,,,,,,,
"Kolkata, Howrah, North 24 Parganas",1984,1,4,,,,,,,,,,,,
"Kolkata, Purba Medinipur",1990,1,1,,,,,,,,,,,,
"Kolkata,Hooghly",1992,1,1,,,,,,,,,,,,
"Kolkata,Neighbourhood",1995,1,1,,,,,,,,,,,,
Kollam,1991,1,1,,,Kollam,177,60,2503307,5,Kollam,2.689873614,2.697055096,0.007181482,7.07E-05
Kollam,1992,1,1,,,Kollam,177,60,2503307,5,Kollam,2.689873614,2.697055096,0.007181482,7.07E-05
Kollam,1995,1,2,,,Kollam,177,60,2503307,5,Kollam,2.689873614,2.697055096,0.007181482,7.07E-05
Kollam,1999,1,1,,,Kollam,177,60,2503307,5,Kollam,2.689873614,2.697055096,0.007181482,7.07E-05
Kollam,2005,1,1,,,Kollam,177,60,2503307,5,Kollam,2.689873614,2.697055096,0.007181482,7.07E-05
Kollam,2012,2,1,,,Kollam,177,60,2503307,5,Kollam,2.689873614,2.697055096,0.007181482,7.07E-05
Kollam,2021,1,1,,,Kollam,177,60,2503307,5,Kollam,2.689873614,2.697055096,0.007181482,7.07E-05
Kollam,2022,2,1,,,Kollam,177,60,2503307,5,Kollam,2.689873614,2.697055096,0.007181482,7.07E-05
"Kollam, Kottayam, Kozhikode, Malappuram, Pathanamthitta, Thiruvananthapuram,Wayanad",1998,1,8,,,,,,,,,,,,
"Kollam, Kozhikode,Thrissur",2002,1,3,,,,,,,,,,,,
"Kollam, Thiruvananthapuram,Wayanad",2005,2,10.5,,,,,,,,,,,,
"Kollam,Kozhikode",1992,1,1,,,,,,,,,,,,
"Kollam,Thiruvananthapuram",1994,1,4,,,,,,,,,,,,
Koppal,1983,1,7,,,Koppal,74,3,1551558,11,Koppal,1.056602421,0.555929835,0.500672586,4.77E-05
Koppal,2022,1,1,,,Koppal,74,3,1551558,11,Koppal,1.056602421,0.555929835,0.500672586,4.77E-05
