Districts,Year,Flood_Frequency,Mean_Duration,Mean_Severity,AFSI,Dist_Name_x,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Dist_Name_y,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio
"Beedar, Kalaburagi, Belagavi, Yadgir, Bagalkotee, Raichur, Koppal, Gadag, Ballari, Dharwad, Uttar Kashia Kannada, Haveri, Chitradurga, Davangere, Shivamogga, Udupi, Chikkamagaluru, Chikkaballapura, Hassan, Kolar, Bengaluru Rural, Dakshina Kannada, Bengaluru Urban, Kodagu, Chamarajanagaraa, Tumakuru, Ramanagara, Mandya, Mysuru, Vijayapura",1999,1,13,,,,,,,,,,,,
"Beedar, Kalaburagi, Belagavi, Yadgir, Bagalkotee, Raichur, Koppal, Gadag, Ballari, Dharwad, Uttar Kashia Kannada, Haveri, Chitradurga, Davangere, Shivamogga, Udupi, Chikkamagaluru, Chikkaballapura, Hassan, Kolar, Bengaluru Rural, Dakshina Kannada, Bengaluru Urban, Kodagu, Chamarajanagaraa, Tumakuru, Ramanagara, Mandya, Mysuru, Vijayapura",2007,1,5,,,,,,,,,,,,
"Beedar, Kalaburagi, Belagavi, Yadgir, Bagalkotee, Raichur, Koppal, Gadag, Ballari, Dharwad, Uttar Kashia Kannada, Haveri, Chitradurga, Davangere, Shivamogga, Udupi, Chikkamagaluru, Chikkaballapura, Hassan, Kolar, Bengaluru Rural, Dakshina Kannada, Bengaluru Urban, Kodagu, Chamarajanagaraa, Tumakuru, Ramanagara, Mandya, Mysuru, Vijayapura",2023,1,1,,,,,,,,,,,,
"Beedar, Shivamogga, Udupi, Uttar Kashia Kannada",2017,1,2,,,,,,,,,,,,
Begusarai,1985,1,1,,,Begusarai,126,10,3830215,22,Begusarai,21.87259266,1.072873296,20.79971936,3.29E-05
"Begusarai , Lakhisarai, Patna, Samastipur, Saran",2016,1,1,,,,,,,,,,,,
"Begusarai, Bhagalpur, Bhojpur, Buxar, Darbhanga, Katihar, Khagaria, Lakhisarai, Munger, Muzaffarpur, Patna, Saharsa, Samastipur, Saran, Vaishali",2021,1,11,,,,,,,,,,,,
"Begusarai, Bhagalpur, Bhojpur, Pashchim Champaran, Purbi Champaran, Darbhanga, Katihar, Madhubani, Munger, Muzaffarpur, Patna, Purnia,Saharsa, Santal Pargan, Saran, Sitamarhi, Siwan,Samastipur",1980,1,7,,,,,,,,,,,,
"Begusarai, Bhagalpur, Darbhanga, Gopalganj, Katihar, Khagaria, Madhepura, Madhubani, Nalanda, Pashchim Champaran, Patna, Saharsa, Samastipur, Sitamarhi,Vaishali",1990,1,38,,,,,,,,,,,,
"Begusarai, Bhagalpur, Darbhanga, Purbi Champaran, Gopalganj, Katihar, Khagaria, Madhepura,Madhubani, Muzaffarpur, Nalanda, Saharsa, Sitamarhi,Pashchim Champaran",1993,1,31,,,,,,,,,,,,
"Begusarai, Bhagalpur, Purbi Champaran, Gopalganj, Khagaria, Madhubani, Muzaffarpur, Samastipur, Supaul,Pashchim Champaran",2007,1,14,,,,,,,,,,,,
"Begusarai, Bhagalpur,Bhojpur, Darbhanga, Katihar,Munger, Samastipur, Saran, Siwan , Vaishali",1982,1,7,,,,,,,,,,,,
"Begusarai, Bhojpur, Buxar, Nalanda, Patna, Siwan",2019,1,2,,,,,,,,,,,,
"Begusarai, Bhojpur, Samastipur, Khagaria, Vaishali",2016,1,2,,,,,,,,,,,,
"Begusarai, Darbhanga, Purbi Champaran, Gopalganj, Katihar,  Saharsa, Purnia, Khagaria, Muzaffarpur, Madhubani, Saran, Sitamarhi, Siwan, Pashchim Champaran,Vaishali",2001,1,14,,,,,,,,,,,,
Belagavi,1987,1,1,,,Belagavi,63,2,5439561,6,Belagavi,1.274110942,0.55806105,0.716049892,1.16E-05
Belagavi,1988,1,3,,,Belagavi,63,2,5439561,6,Belagavi,1.274110942,0.55806105,0.716049892,1.16E-05
Belagavi,2005,1,1,,,Belagavi,63,2,5439561,6,Belagavi,1.274110942,0.55806105,0.716049892,1.16E-05
Belagavi,2007,2,1,,,Belagavi,63,2,5439561,6,Belagavi,1.274110942,0.55806105,0.716049892,1.16E-05
Belagavi,2011,1,1,,,Belagavi,63,2,5439561,6,Belagavi,1.274110942,0.55806105,0.716049892,1.16E-05
Belagavi,2013,1,1,,,Belagavi,63,2,5439561,6,Belagavi,1.274110942,0.55806105,0.716049892,1.16E-05
Belagavi,2019,2,2,,,Belagavi,63,2,5439561,6,Belagavi,1.274110942,0.55806105,0.716049892,1.16E-05
Belagavi,2021,1,4,,,Belagavi,63,2,5439561,6,Belagavi,1.274110942,0.55806105,0.716049892,1.16E-05
Belagavi,2022,5,1,,,Belagavi,63,2,5439561,6,Belagavi,1.274110942,0.55806105,0.716049892,1.16E-05
"Belagavi, Ballari, Bijapur Surendranagar, Kalaburagi,Raichur",1993,1,11,,,,,,,,,,,,
"Belagavi, Ballari, Bijapur, Chikkamagaluru, Surendranagar, Dharwad,  Kalaburagi, Hassan, Kodagu, Kolar, Mandya,Mysuru",1994,1,7,,,,,,,,,,,,
"Belagavi, Ballari, Chikkaballapura, Dakshina Kannada, Dharwad, Kodagu, Shivamogga, Udupi,Uttar Kashia Kannada",2004,1,7,,,,,,,,,,,,
"Belagavi, Ballari, Dharwad, Raichur",1996,1,2,,,,,,,,,,,,
"Belagavi, Chikkaballapura, Dakshina Kannada, Dharwad, Kodagu, Raichur, Shivamogga, Udupi, Uttar Kashia Kannada, Yadgir",2019,1,4,,,,,,,,,,,,
"Belagavi, Chikkamagaluru, Kodagu, Uttar Kashia Kannada",2016,1,2,,,,,,,,,,,,
"Belagavi, Dakshina Kannada,Kodagu",2013,1,4,,,,,,,,,,,,
"Belagavi,Bijapur",2014,1,3,,,,,,,,,,,,
"Belagavi,Tumakuru",2005,1,4,,,,,,,,,,,,
Bengaluru Rural,1979,1,1,,,Bengaluru Rural,164,135,1355031,4,Bengaluru Rural,0.192307509,0.071765205,0.120542304,0.00012103
Bengaluru Rural,1983,1,1,,,Bengaluru Rural,164,135,1355031,4,Bengaluru Rural,0.192307509,0.071765205,0.120542304,0.00012103
Bengaluru Rural,1984,1,1,,,Bengaluru Rural,164,135,1355031,4,Bengaluru Rural,0.192307509,0.071765205,0.120542304,0.00012103
Bengaluru Rural,1987,2,1,,,Bengaluru Rural,164,135,1355031,4,Bengaluru Rural,0.192307509,0.071765205,0.120542304,0.00012103
Bengaluru Rural,1988,2,1,,,Bengaluru Rural,164,135,1355031,4,Bengaluru Rural,0.192307509,0.071765205,0.120542304,0.00012103
Bengaluru Rural,1992,1,1,,,Bengaluru Rural,164,135,1355031,4,Bengaluru Rural,0.192307509,0.071765205,0.120542304,0.00012103
Bengaluru Rural,1996,1,1,,,Bengaluru Rural,164,135,1355031,4,Bengaluru Rural,0.192307509,0.071765205,0.120542304,0.00012103
Bengaluru Rural,1997,1,1,,,Bengaluru Rural,164,135,1355031,4,Bengaluru Rural,0.192307509,0.071765205,0.120542304,0.00012103
Bengaluru Rural,1998,2,1,,,Bengaluru Rural,164,135,1355031,4,Bengaluru Rural,0.192307509,0.071765205,0.120542304,0.00012103
Bengaluru Rural,1999,3,1.333333333,,,Bengaluru Rural,164,135,1355031,4,Bengaluru Rural,0.192307509,0.071765205,0.120542304,0.00012103
Bengaluru Rural,2000,1,1,,,Bengaluru Rural,164,135,1355031,4,Bengaluru Rural,0.192307509,0.071765205,0.120542304,0.00012103
"Bengaluru Rural, Ballari, Dharwad, Kolar,Raichur",2001,1,14,,,,,,,,,,,,
"Bengaluru Rural, Ballari,Tumakuru",1991,1,1,,,,,,,,,,,,
"Bengaluru Rural, Belagavi, Ballari, Beedar, Bijapur, Chamarajanagaraa Chikkaballapura, Chitradurga, Dakshina Kannada, Dharwad, Davangere, Gadag,  Kalaburagi, Hassan, Haveri, Kodagu, Kolar, Koppal, Mandya, Mysuru, Raichur, Ramanagara, Shivamogga, Tumakuru, Udupi, Uttar Kashia Kannada",2020,1,30,,,,,,,,,,,,
"Bengaluru Rural, Belagavi,Uttar Kashia Kannada",2008,1,2,,,,,,,,,,,,
"Bengaluru Rural, Bijapur,Tumakuru",1988,1,1,,,,,,,,,,,,
"Bengaluru Rural, Chikkaballapura, Dakshina Kannada, Kodagu,Uttar Kashia Kannada",2000,1,3,,,,,,,,,,,,
"Bengaluru Rural, Chikkamagaluru, Dakshina Kannada, Kodagu, Uttar Kashia Kannada",2018,1,4,,,,,,,,,,,,
"Bengaluru Rural, Gadag, Haveri,Kolar",2014,1,6,,,,,,,,,,,,
"Bengaluru Rural,Bengaluru Rural",2000,1,3,,,,,,,,,,,,
"Bengaluru Rural,Bijapur",1999,1,1,,,,,,,,,,,,
"Bengaluru Rural,Surendranagar",1991,1,8,,,,,,,,,,,,
Bengaluru Urban,2003,1,2,,,,,,,,,,,,
Bengaluru Urban,2004,1,1,,,,,,,,,,,,
Bengaluru Urban,2005,3,1,,,,,,,,,,,,
Bengaluru Urban,2009,1,5,,,,,,,,,,,,
Bengaluru Urban,2017,1,4,,,,,,,,,,,,
Bengaluru Urban,2022,3,1.333333333,,,,,,,,,,,,
"Bengaluru Urban, Belagavi",2018,1,1,,,,,,,,,,,,
"Bengaluru Urban, Belagavi, Chikkaballapura, Dakshina Kannada, Hassan,Kodagu",2004,1,6,,,,,,,,,,,,
"Bengaluru Urban, Bengaluru Rural,Gadag",2004,1,7,,,,,,,,,,,,
"Bengaluru Urban, Chikkaballapura,Dharwad",2014,1,5,,,,,,,,,,,,
"Bengaluru Urban, Chitradurga , Dharwad, Uttar Kashia Kannada",2018,1,1,,,,,,,,,,,,
"Betul, Tikamgarh,Khargone (Khargone (West Nimar))",2000,1,3,,,,,,,,,,,,
Bhadradri Bhadradri Kothagudem,2021,1,1,,,,,,,,,,,,
Bhadradri Bhadradri Kothagudem Bhadradri Kothagudem,2022,1,1,,,,,,,,,,,,
"Bhadradri Bhadradri Kothagudem Bhadradri Kothagudem, Karimnagar, Khammam, Rajanna Sircilla, Warangal, Warangal, Warangal, Warangal",2021,1,1,,,,,,,,,,,,
Bhadradri Kothagudem,2022,2,2,,,Bhadradri Kothagudem,2,0,1149137,8,Bhadradri Kothagudem,1.367448139,0.625093908,0.742354231,1.74E-06
Bhadrak,2013,1,1,,,Bhadrak,68,0,1613470,23,Bhadrak,10.96625941,2.562091316,8.404168094,4.21E-05
"Bhadrak, Cuttack, Jagatsinghapur,Jajapur, Jharsuguda, Kendrapara, Khordha,Puri",2014,1,14,,,,,,,,,,,,
"Bhadrak, Dhenkanal, Jajapur, Subarnapur, Nuapada, Balangir, Boudh, Cuttack, Kandhamal, Nayagarh, Khordha, Kalahandi, Jagatsinghapur, Puri, Nagpur, Rayagada, Koraput, Malkangiri, Anugul, Kendrapara, Ganjam, Gajapati, Mayurbhanj, Sundargarh, Kendujhar",2003,1,30,,,,,,,,,,,,
"Bhadrak, Dhenkanal, Jajapur, Subarnapur, Nuapada, Balangir, Boudh, Cuttack, Kandhamal, Nayagarh, Khordha, Kalahandi, Jagatsinghapur, Puri, Nagpur, Rayagada, Koraput, Malkangiri, Anugul, Kendrapara, Ganjam, Gajapati, Mayurbhanj, Sundargarh, Kendujhar, Baleshwar, Jharsuguda, Bargarh, Deogarh, Sambalpur",1994,1,30,,,,,,,,,,,,
"Bhadrak, Dhenkanal, Jajapur, Subarnapur, Nuapada, Balangir, Boudh, Cuttack, Kandhamal, Nayagarh, Khordha, Kalahandi, Jagatsinghapur, Puri, Nagpur, Rayagada, Koraput, Malkangiri, Anugul, Kendrapara, Ganjam, Gajapati, Mayurbhanj, Sundargarh, Kendujhar, Baleshwar, Jharsuguda, Bargarh, Deogarh, Sambalpur",1995,1,3,,,,,,,,,,,,
"Bhadrak, Dhenkanal, Jajapur, Subarnapur, Nuapada, Balangir, Boudh, Cuttack, Kandhamal, Nayagarh, Khordha, Kalahandi, Jagatsinghapur, Puri, Nagpur, Rayagada, Koraput, Malkangiri, Anugul, Kendrapara, Ganjam, Gajapati, Mayurbhanj, Sundargarh, Kendujhar, Baleshwar, Jharsuguda, Bargarh, Deogarh, Sambalpur",1997,1,21,,,,,,,,,,,,
"Bhadrak, Dhenkanal, Jajapur, Subarnapur, Nuapada, Balangir, Boudh, Cuttack, Kandhamal, Nayagarh, Khordha, Kalahandi, Jagatsinghapur, Puri, Nagpur, Rayagada, Koraput, Malkangiri, Anugul, Kendrapara, Ganjam, Gajapati, Mayurbhanj, Sundargarh, Kendujhar, Baleshwar, Jharsuguda, Bargarh, Deogarh, Sambalpur",2001,1,14,,,,,,,,,,,,
"Bhadrak, Dhenkanal, Jajapur, Subarnapur, Nuapada, Balangir, Boudh, Cuttack, Kandhamal, Nayagarh, Khordha, Kalahandi, Jagatsinghapur, Puri, Nagpur, Rayagada, Koraput, Malkangiri, Anugul, Kendrapara, Ganjam, Gajapati, Mayurbhanj, Sundargarh, Kendujhar, Baleshwar, Jharsuguda, Bargarh, Deogarh, Sambalpur",2006,3,30.66666667,,,,,,,,,,,,
"Bhadrak, Dhenkanal, Jajapur, Subarnapur, Nuapada, Balangir, Boudh, Cuttack, Kandhamal, Nayagarh, Khordha, Kalahandi, Jagatsinghapur, Puri, Nagpur, Rayagada, Koraput, Malkangiri, Anugul, Kendrapara, Ganjam, Gajapati, Mayurbhanj, Sundargarh, Kendujhar, Baleshwar, Jharsuguda, Bargarh, Deogarh, Sambalpur",2019,1,10,,,,,,,,,,,,
"Bhadrak, Dhenkanal, Jajapur, Subarnapur, Nuapada, Balangir, Boudh, Cuttack, Kandhamal, Nayagarh, Khordha, Kalahandi, Jagatsinghapur, Puri, Nagpur, Rayagada, Koraput, Malkangiri, Anugul, Kendrapara, Ganjam, Gajapati, Mayurbhanj, Sundargarh, Kendujhar, Baleshwar, Jharsuguda, Bargarh, Deogarh, Sambalpur, Pashchim Champaran, Purbi Champaran, Sitamarhi, Sheohar, Gopalganj, Samastipur, Katihar, Khagaria, Bhojpur, Buxar, Darbhanga, Saharsa, Kaimur (Bhabua), Rohtas, Jamui, Banka, Nawada, Gaya, Munger, Vaishali, Begusarai, Bhagalpur, Lakhisarai, Sheikhpura, Arwal, Jehanabad, Nalanda, Patna, Saran, Siwan, Muzaffarpur, Madhepura, Araria, Supaul, Madhubani, Purnia, Kishanganj, Aurangabad, Amroha, Hapur, Bareilly, Pilibhit, Bulandshahr, Gautam Buddha Nagar, Kheri, Budaun, Bahraich, Shahjahanpur, Aligarh, Kasganj, Mathura, Sshrawasti, Sitapur, Hathras, Etah, Hardoi, Farrukhabad, Firozabad, Siddharthnagar, Mainpuri, Mahrajganj, Agra, Gonda, Bara Banki, Kushinagar, Kannauj, Lucknow, Basti, Gorakhpur, Sant Kabir Nagar, Unnao, Etawah, Kanpur Nagar Nagar, Auraiya, Ayodhya, Kanpur Nagar Dehat, Deoria, Sultanpur, Ambedkar Nagar, Rae Bareli, Jalaun, Azamgarh, Mau, Fatehpur, Ballia, Jaunpur, Jhansi, Banda, Ghazipurr, Kaushambi, Prayagraj, Varanasi, Chitrakoot, Chandauli, Bhadohi, Mirzapur, Lalitpur, Sonbhadra, Amethi, Ghaziabad, Sambhal, Mahoba, Saharanpur, Bijnor, Muzaffarnagar, Baghpat, Meerut, Moradabad, Rampur, Shamli, Balrampur, Hamirpur, Pratapgarh, Burhanpur, Morena, Bhind, Gwalior, Sheopur, Shivpuri, Tikamgarh, Neemuch, Rewa, Satna, Guna, Ashoknagar, Mandsaur, Singrauli, Sidhi, Sagar, Damoh, Shajapur, Vidisha, Rajgarh, Shahdol, Katni, Umaria, Ratlam, Bhopal, Ujjain, Raisen, Sehore, Jabalpur, Dewas, Anuppur, Jhabua, Dindori, Narsimhapur, Dhar, Indore, Mandla, Narmadapuram, Seoni, Alirajpur, Chhindwara, Harda, Khargone (Khargone (West Nimar)), East Nimar, Balaghat, Barwani, Agar-Malwa, Datia, Chhatarpur, Panna, Betul, Niwari, Churu, Jhunjhunu, Jaisalmer, Sikar, Alwar, Jaipur, Jodhpur, Bharatpur, Nagaur, Dausa, Karauli, Dholpur, Barmer, Sawai Madhopur, Tonk, Pali, Bhilwara, Jalore, Bundi, Kota, Sirohi, Baran, Udaipur, Jhalawar, Dungarpur, Banswara, Ajmer, Rajsamand, Chittorgarh, Ganganagar, Hanumangarh, Bikaner, Pratapgarh, Jhajjar, Gurugram, Faridabad, Mahendragarh, Rewari, Nuh, Palwal, Charki Dadri, Yamunanagar, Kurukshetra, Kaithal, Sirsa, Karnal, Jind, Fatehabad, Hisar, Panipat, Sonipat, Bhiwani, Rohtak, Panchkula, Ambala",1967,1,2,,,,,,,,,,,,
"Bhadrak, Dhenkanal, Jajapur, Subarnapur, Nuapada, Balangir, Boudh, Cuttack, Kandhamal, Nayagarh, Khordha, Kalahandi, Jagatsinghapur, Puri, Nagpur, Rayagada, Koraput, Malkangiri, Anugul, Kendrapara, Ganjam, Gajapati, Mayurbhanj, Sundargarh, Kendujhar, Baleshwar, Jharsuguda, Bargarh, Deogarh, Sambalpur, Pashchim Champaran, Purbi Champaran, Sitamarhi, Sheohar, Gopalganj, Samastipur, Katihar, Khagaria, Bhojpur, Buxar, Darbhanga, Saharsa, Kaimur (Bhabua), Rohtas, Jamui, Banka, Nawada, Gaya, Munger, Vaishali, Begusarai, Bhagalpur, Lakhisarai, Sheikhpura, Arwal, Jehanabad, Nalanda, Patna, Saran, Siwan, Muzaffarpur, Madhepura, Araria, Supaul, Madhubani, Purnia, Kishanganj, Aurangabad, Tinsukia, Dhemaji, Dibrugarh, Lakhimpur, Sivasagar, Jorhat, Sonitpur, Golaghat, Udalguri, Chirang, Baksa, Nagaon, Kokrajhar, Darrang, Barpeta, Nalbari, Marigaon, Kamrup, Bongaigaon, Dhubri, Kamrup Metro, Goalpara, Dima Hasao, Cachar, Karimganj, Hailakandi, Charaideo, Majuli, Biswanath, Hojai, South Salmara Mancachar, Karbi Anglong, West Karbi Anglong, South 24 Parganas, Darjeeling, Jalpaiguri, Dakshin Dinajpur, Maldah, Murshidabad, Birbhum, Nadia, Purba Purba Bardhaman, Purulia, Bankura, North 24 Parganas",1972,1,14,,,,,,,,,,,,
"Bhagalpur, Bhojpur, Khagaria, Patna, Samastipur, Saran,Vaishali",1994,1,7,,,,,,,,,,,,
"Bhagalpur, Darbhanga, Purbi Champaran, Pashchim Champaran,Munger",1984,1,7,,,,,,,,,,,,
"Bhagalpur, Purbi Champaran, Pashchim Champaran, Katihar, Madhubani, Munger, Samastipur, Siwan, Muzaffarpur, Saran, Patna, Darbhanga, Sitamarhi, Saharsa, Begusarai, Khagaria,Bhojpur",1984,1,28,,,,,,,,,,,,
Bhandara,1981,1,2,,,Bhandara,91,26,1132270,5,Bhandara,2.564278476,0.742932408,1.821346068,8.04E-05
Bhandara,1988,1,1,,,Bhandara,91,26,1132270,5,Bhandara,2.564278476,0.742932408,1.821346068,8.04E-05
Bhandara,1994,1,1,,,Bhandara,91,26,1132270,5,Bhandara,2.564278476,0.742932408,1.821346068,8.04E-05
Bhandara,2022,2,4,,,Bhandara,91,26,1132270,5,Bhandara,2.564278476,0.742932408,1.821346068,8.04E-05
"Bhandara Chandrapur,Wardha",2008,1,5,,,,,,,,,,,,
"Bhandara, Chandrapur, Nagpur,Wardha",2005,1,2,,,,,,,,,,,,
"Bhandara, Chandrapur,Nagpur",2005,1,2,,,,,,,,,,,,
"Bhandara, Gadchiroli, Gondia",2020,1,1,,,,,,,,,,,,
"Bhandara, Gondia,Ratnagiri",2014,1,2,,,,,,,,,,,,
"Bhandara, Nagpur",2017,1,2,,,,,,,,,,,,
"Bhandara,Nagpur",2007,1,1,,,,,,,,,,,,
Bharatpur,1995,1,1,,,Bharatpur,98,252,2952552,5,Bharatpur,2.342300583,0.003684995,2.338615588,3.32E-05
Bharatpur,2005,2,1,,,Bharatpur,98,252,2952552,5,Bharatpur,2.342300583,0.003684995,2.338615588,3.32E-05
Bharatpur,2010,1,1,,,Bharatpur,98,252,2952552,5,Bharatpur,2.342300583,0.003684995,2.338615588,3.32E-05
Bharatpur,2020,1,1,,,Bharatpur,98,252,2952552,5,Bharatpur,2.342300583,0.003684995,2.338615588,3.32E-05
"Bharatpur, Jaipur,Sawai Madhopur",1995,1,7,,,,,,,,,,,,
"Bharatpur, Jodhpur",1996,1,1,,,,,,,,,,,,
Bharuch,1979,1,1,,,Bharuch,233,56,1704669,14,Bharuch,3.432850261,1.612396534,1.820453727,0.000136683
Bharuch,1986,1,7,,,Bharuch,233,56,1704669,14,Bharuch,3.432850261,1.612396534,1.820453727,0.000136683
Bharuch,2022,1,2,,,Bharuch,233,56,1704669,14,Bharuch,3.432850261,1.612396534,1.820453727,0.000136683
"Bharuch, Dangs, Junagadh, Surat, Vadodara,Valsad",1994,1,14,,,,,,,,,,,,
"Bharuch, Navsari, Surat,Vadodara",2006,1,1,,,,,,,,,,,,
"Bharuch, Surat, Dangs, Vadodara,Valsad",2009,1,7,,,,,,,,,,,,
"Bharuch,Surat",2005,1,5,,,,,,,,,,,,
"Bhavnagar, Botad, Gandhinagar, Gir Somnath, Junagadh, Kachchh, Narmada, Patan, Tapi",2019,1,30,,,,,,,,,,,,
"Bhilwara, Bundi,Pali",1994,1,1,,,,,,,,,,,,
"Bhilwara,Jaipur",2004,1,2,,,,,,,,,,,,
Bhind,1978,1,7,,,Bhind,25,0,1937516,6,Bhind,2.808721208,0.119319241,2.689401967,1.29E-05
Bhind,2018,1,1,,,Bhind,25,0,1937516,6,Bhind,2.808721208,0.119319241,2.689401967,1.29E-05
Bhind,2021,1,7,,,Bhind,25,0,1937516,6,Bhind,2.808721208,0.119319241,2.689401967,1.29E-05
"Bhind, Guna, Gwalior, Chhatarpur,Narmadapuram, Jabalpur,Sagar",1983,1,2,,,,,,,,,,,,
"Bhind, Panna, Rewa",2016,1,1,,,,,,,,,,,,
Bhiwani,2007,1,1,,,Bhiwani,31,6,1296415,5,Bhiwani,2.188213606,0.000980524,2.187233082,2.39E-05
Bhiwani,2008,1,1,,,Bhiwani,31,6,1296415,5,Bhiwani,2.188213606,0.000980524,2.187233082,2.39E-05
Bhiwani,2023,1,4,,,Bhiwani,31,6,1296415,5,Bhiwani,2.188213606,0.000980524,2.187233082,2.39E-05
"Bhiwani, Hisar, Jind, Kaithal, Rohtak,Sirsa",1995,1,2,,,,,,,,,,,,
Bhojpur,2001,1,1,,,Bhojpur,119,0,3338604,21,Bhojpur,6.197224303,0.810391565,5.386832738,3.56E-05
"Bhojpur,Munger",2013,1,1,,,,,,,,,,,,
Bhopal,1981,1,1,,,Bhopal,64,13,2938719,4,Bhopal,0.626374883,0.626869321,0.000494438,2.18E-05
Bhopal,1985,1,5,,,Bhopal,64,13,2938719,4,Bhopal,0.626374883,0.626869321,0.000494438,2.18E-05
Bhopal,1991,1,1,,,Bhopal,64,13,2938719,4,Bhopal,0.626374883,0.626869321,0.000494438,2.18E-05
Bhopal,1996,1,1,,,Bhopal,64,13,2938719,4,Bhopal,0.626374883,0.626869321,0.000494438,2.18E-05
"Bhopal, Damoh, Malda, Morena, Seoni",2016,1,3,,,,,,,,,,,,
"Bhopal, Gwalior, Rewa,Satna",2003,1,6,,,,,,,,,,,,
"Bhopal, Rewa, Vidisha",1984,1,1,,,,,,,,,,,,
"Bhopal, Sehore",2019,1,1,,,,,,,,,,,,
"Bhopal,Chhindwara",2012,1,1,,,,,,,,,,,,
"Bhopal,Sagar",2005,1,1,,,,,,,,,,,,
"Bhopal,Vidisha",2006,1,2,,,,,,,,,,,,
Bhubaneshwar,1983,1,4,,,,,,,,,,,,
Bijapur,1986,1,1,,,Bijapur,85,20,275997,9,Bijapur,2.067319021,0.119061839,1.948257182,0.000307974
Bijapur,2000,1,2,,,Bijapur,85,20,275997,9,Bijapur,2.067319021,0.119061839,1.948257182,0.000307974
Bijapur,2006,1,1,,,Bijapur,85,20,275997,9,Bijapur,2.067319021,0.119061839,1.948257182,0.000307974
Bijapur,2022,2,1,,,Bijapur,85,20,275997,9,Bijapur,2.067319021,0.119061839,1.948257182,0.000307974
"Bijapur, Chitradurga,Tumakuru",1999,1,2,,,,,,,,,,,,
"Bijapur, Kalaburagi",1994,1,1,,,,,,,,,,,,
Bijnor,2023,1,4,,,Bijnor,56,0,4311589,24,Bijnor,3.55139876,0.063788983,3.487609777,1.30E-05
"Bijnor, Amroha, Kanpur Nagar Nagar,Kanpur Nagar Dehat, Lucknow, Meerut, Muzaffarnagar,Unnao",2002,1,7,,,,,,,,,,,,
"Bijnor, Moradabad, Uttar Kashi Kashi, Chamoli, Dehradun, Tehri Garhwal, Rudra Prayag, Pithoragarh, Bageshwar, Haridwar, Garhwal, Almora, Nainital, Champawat, Udam Singh Nagar",2000,1,7,,,,,,,,,,,,
Bikaner,1994,1,1,,,Bikaner,61,23,3124233,14,Bikaner,0.693208661,0.008307225,0.684901436,1.95E-05
Bikaner,2007,1,1,,,Bikaner,61,23,3124233,14,Bikaner,0.693208661,0.008307225,0.684901436,1.95E-05
Bikaner,2022,2,1,,,Bikaner,61,23,3124233,14,Bikaner,0.693208661,0.008307225,0.684901436,1.95E-05
"Bikaner, Churu, Jaisalmer, Kanpur Nagar",2010,1,3,,,,,,,,,,,,
"Bikaner,Sikar",1998,1,1,,,,,,,,,,,,
Bilaspur,1986,1,7,,,Bilaspur,111,9,2180689,5,Bilaspur,1.199971728,0.445297237,0.754674491,5.09E-05
Bilaspur,1996,2,1,,,Bilaspur,111,9,2180689,5,Bilaspur,1.199971728,0.445297237,0.754674491,5.09E-05
Bilaspur,2022,1,1,,,Bilaspur,111,9,2180689,5,Bilaspur,1.199971728,0.445297237,0.754674491,5.09E-05
"Bilaspur, Chamba, Hamirpur, Kangra, Kinnaur, Kullu, Mandi,",2016,1,3,,,,,,,,,,,,
"Bilaspur, Chamba, Hamirpur, Kangra, Kullu, Mandi, Shimla, Solan, Una",2016,1,3,,,,,,,,,,,,
"Bilaspur, Chamba, Hamirpur, Kangra, Mandi, Shimla, Sirmaur, Una",2015,1,5,,,,,,,,,,,,
"Bilaspur, Hamirpur, Kangra",1987,1,2,,,,,,,,,,,,
"Bilaspur, Hamirpur, Shimla, Solan,Chamba",2017,1,1,,,,,,,,,,,,
"Bilaspur, Janjgir-Champa, Korba, Mahasamund, Rajnandgaon, Raigarh,Raipur",2011,1,3,,,,,,,,,,,,
"Bilaspur, Kangra, Kinnaur, Hamirpur, Lahul And Spiti, Mandi, Solan",2007,1,1,,,,,,,,,,,,
"Bilaspur, Kangra, Sirmaur",2017,1,2,,,,,,,,,,,,
"Bilaspur,Mandi",2014,1,3,,,,,,,,,,,,
"Bilaspur,Tikamgarh",1994,1,1,,,,,,,,,,,,
Birbhum,1994,1,3,,,Birbhum,186,1,4082552,31,Birbhum,4.557102699,0.073826304,4.483276395,4.56E-05
"Birbhum, Cooch Behar, Jalpaiguri, Malda, Murshidabad, Nadia,Dakshin Dinajpur",1988,1,61,,,,,,,,,,,,
"Birbhum, Dakshin Dinajpur, Nadia,South 24 Parganas",2005,1,1,,,,,,,,,,,,
"Birbhum, Howrah, Kolkata,Purba Purba Medinipur",2011,1,2,,,,,,,,,,,,
"Birbhum, Kolkata",1995,1,1,,,,,,,,,,,,
"Birbhum, Kolkata, Hooghly, Howrah, Malda, Purba Purba Medinipur, Murshidabad, Nadia,South 24 Parganas,North 24 Parganas",1986,1,61,,,,,,,,,,,,
"Birbhum, Purba Bardhaman, Hooghly, Howrah, Malda, Paschim Purba Medinipur,Purba Purba Medinipur, Murshidabad, Murshidabad, Nadia,South 24 Parganas",1990,1,5,,,,,,,,,,,,
Biswanath,2023,3,1,,,Biswanath,56,1,666698,10,Biswanath,5.175865068,2.020191719,3.155673349,8.40E-05
